Url,Index,Title,Author,Stars,Ratings,Price
https://www.amazon.in//Indian-Polity-Civil-Services-Examinations/dp/B07Y3CJJCR/ref=zg_bs_books_19/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#19,Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,13.863,609.00
https://www.amazon.in//Oxford-Student-Atlas-India-Third/dp/0190123281/ref=zg_bs_books_20/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#20,Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,9.069,237.00
https://www.amazon.in//Great-Stories-Children-Ruskin-Bond/dp/8129118920/ref=zg_bs_books_21/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#21,Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,6.026,117.00
https://www.amazon.in//Karma-PUBLISHERS-BESTSELLER-spirituality-self-improvement/dp/0143452673/ref=zg_bs_books_22/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#22,"Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER , must-read book on spirituality and self-improvement by Sadhguru",Sadhguru,4.7 out of 5 stars,3.682,197.00
https://www.amazon.in//101-Panchatantra-Stories-Children-Illustrated/dp/935376517X/ref=zg_bs_books_23/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#23,101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5 out of 5 stars,3.03,158.00
https://www.amazon.in//As-Man-Thinketh-James-Allen/dp/9386538172/ref=zg_bs_books_24/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#24,As a Man Thinketh,James Allen,4.4 out of 5 stars,3.644,125.00
https://www.amazon.in//Activity-Books-Collection-Learning-InIkao/dp/8193752333/ref=zg_bs_books_25/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#25,Activity Books Collection for Early Learning by InIkao : Set of 8 Activity Books for Kindergarten kids,InIkao,4.2 out of 5 stars,844.0,149.00
https://www.amazon.in//Objective-NCERT-your-FINGERTIPS-NEET-AIIMS/dp/9389971241/ref=zg_bs_books_26/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#26,Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.6 out of 5 stars,3.7,543.00
https://www.amazon.in//General-Knowledge-Dr-Binay-Karna/dp/9384761540/ref=zg_bs_books_27/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#27,General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,14.341,151.00
https://www.amazon.in//Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_books_28/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#28,Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,33.839,173.00
https://www.amazon.in//Brain-Games-Clever-Kids-Buster/dp/1780552491/ref=zg_bs_books_29/259-6257366-4988529?_encoding=UTF8&psc=1&refRID=8AAQ2B87Q37Z8BMNWA0Y,#29,"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",Gareth Moore,4.3 out of 5 stars,5.652,180.00
